DEPTH,Flow-in,ROP,RPM,Torque,WOB,SPP,BITSIZE
10063,584.37,7.98,87,5.1,40.44,2218.97,12.25
10064,576.08,8.17,87,5.1,35.83,2176.18,12.25
10065,576.08,7.8,87,5.1,35,2179.24,12.25
10066,576.08,8.88,88,5.1,43.95,2188.41,12.25
10067,576.08,5.42,87,5.1,38.26,2199.1,12.25
10068,576.08,9.93,88,5.1,40.15,2203.69,12.25
10069,580.23,9.06,88,5.1,41.52,2156.31,12.25
10070,576.08,9.73,87,5.1,43.95,2229.67,12.25
10071,576.08,8.52,88,5.1,44.49,2252.59,12.25
10072,576.08,8.68,87,5.1,45.05,2255.65,12.25
10073,576.08,13.58,90,5.1,49.64,2252.59,12.25
10074,576.08,5.51,87,5.1,40.98,2238.84,12.25
10075,576.08,7.1,87,5.1,40.44,2229.67,12.25
10076,576.08,7.96,86,5.1,40.98,2226.61,12.25
10077,576.08,6.53,86,5.1,40.71,2226.61,12.25
10078,576.08,8.13,87,5.1,40.71,2220.5,12.25
10079,576.08,6.69,86,5.1,40.44,2222.03,12.25
10080,576.08,7.4,86,5.1,40.15,2229.67,12.25
10081,576.08,7.1,87,5.1,34.46,2238.84,12.25
10082,576.08,60.07,91,5.1,40.44,2241.9,12.25
10083,576.08,23.62,89,5.1,38.8,2248,12.25
10084,576.08,24.44,90,5.1,40.44,2249.53,12.25
10085,576.08,23.16,89,5.1,39.07,2251.06,12.25
10086,576.08,23.31,88,5.1,40.98,2251.06,12.25
10087,576.08,16.03,87,5.1,37.18,2252.59,12.25
10088,576.08,23.47,89,5.1,39.07,2252.59,12.25
10089,576.08,27.05,89,5.1,37.18,2252.59,12.25
10090,576.08,25.13,88,5.1,39.61,2254.12,12.25
10091,576.08,20.97,88,5.1,41.25,2252.59,12.25
10092,576.08,11.58,87,5.1,40.98,2251.06,12.25
10093,576.08,15.41,88,5.1,37.45,2252.59,12.25
10094,576.08,20.73,88,5.1,38.8,2252.59,12.25
10095,576.08,21.47,88,5.1,38.8,2252.59,12.25
10096,576.08,21.33,88,5.1,38.8,2252.59,12.25
10097,576.08,22.25,87,5.1,36.64,2252.59,12.25
10098,219.66,18.87,96,4.7,8,412.62,12.25
10099,219.66,16.45,100,4.7,6.16,404.98,12.25
10100,219.66,15.2,96,4.7,5.89,414.15,12.25
10101,215.51,15.51,99,5,5.08,440.14,12.25
10102,215.51,22.89,102,5,7.8,444.72,12.25
10103,215.51,26.26,101,5,8.07,446.24,12.25
10104,215.51,21.5,102,5,8.88,449.3,12.25
10105,215.51,18.99,98,5,7.8,463.05,12.25
10106,215.51,19.46,95,5,8.07,459.99,12.25
10107,215.51,18.39,100,5,8.61,467.64,12.25
10108,215.51,15.58,100,5,8.07,466.12,12.25
10109,215.51,17.34,77,5,9.71,467.64,12.25
10110,215.51,15.75,79,5,10.81,467.64,12.25
10111,215.51,16.32,79,5.2,10.54,478.34,12.25
10112,215.51,18.92,78,5.2,12.16,478.34,12.25
10113,215.51,17.24,80,5.2,11.89,479.86,12.25
10114,215.51,17.9,79,5.2,12.43,484.45,12.25
10115,215.51,19.74,80,5.2,13.24,485.97,12.25
10116,215.51,19.92,79,5.2,11.08,485.97,12.25
10117,215.51,23.69,81,5.2,12.7,487.51,12.25
10118,215.51,17.23,79,5.2,10.54,487.51,12.25
10119,215.51,25.4,81,5.2,12.43,489.03,12.25
10120,215.51,22.08,80,5.2,11.35,487.51,12.25
10121,215.51,25.28,81,5.2,12.16,487.51,12.25
10122,211.36,21.9,79,5.2,10.54,487.51,12.25
10123,211.36,23.09,80,5.2,11.62,490.57,12.25
10124,215.51,17.91,79,5.2,10.81,489.03,12.25
10125,215.51,19.63,80,5.2,12.43,489.03,12.25
10126,215.51,15.17,78,5.2,10.81,487.51,12.25
10127,215.51,19.41,79,5.2,11.35,487.51,12.25
10128,215.51,18.17,79,5.2,12.16,482.93,12.25
10129,215.51,15.33,78,5.2,10.54,478.34,12.25
10130,215.51,25.76,80,5.2,11.62,475.28,12.25
10131,215.51,16.86,78,5.2,10.54,466.12,12.25
10132,215.51,18.5,79,5.2,11.08,458.47,12.25
10133,215.51,17.68,78,5.2,10.54,450.83,12.25
10134,215.51,20.32,79,5.2,11.62,444.72,12.25
10135,215.51,19.92,80,5.2,10.81,434.02,12.25
10136,215.51,23.73,81,5.2,12.16,430.96,12.25
10137,215.51,16.95,78,5.2,10.27,423.31,12.25
10138,215.51,24.48,81,5.2,11.62,421.79,12.25
10139,215.51,25.52,81,5.2,11.62,421.79,12.25
10140,215.51,24.48,82,5.2,11.35,421.79,12.25
10141,215.51,25.81,82,5.2,12.43,426.37,12.25
10142,219.66,26.78,81,5.2,12.16,424.85,12.25
10143,215.51,24.93,83,5.2,12.16,424.85,12.25
10144,215.51,25.72,82,5.2,12.43,423.31,12.25
10145,215.51,22.73,82,5.2,11.62,429.43,12.25
10146,215.51,22.26,81,5.2,11.62,432.49,12.25
10147,215.51,23.09,82,5.2,12.43,437.08,12.25
10148,215.51,22.17,79,5.2,10.81,440.14,12.25
10149,215.51,24.93,81,5.2,12.7,453.89,12.25
10150,215.51,21.44,82,5.2,11.35,458.47,12.25
10151,215.51,23.22,79,5.2,11.62,458.47,12.25
10152,215.51,19.86,78,5.2,11.08,458.47,12.25
10153,215.51,16.12,77,5.2,10.81,466.12,12.25
10154,215.51,13.46,76,5.2,11.62,467.64,12.25
10155,215.51,10.86,76,5.2,11.89,481.39,12.25
10156,211.36,16.95,78,5.2,12.7,490.57,12.25
10157,211.36,16.95,78,5.2,12.7,490.57,12.25
